state,town,county,fips
VT,Halifax,Windham,025

VT,Hancock,Addison,001

VT,Hardwick,Caledonia,005

VT,Hartford,Windsor,027

VT,Hartland,Windsor,027

VT,Highgate,Franklin,011

VT,Hinesburg,Chittenden,007

VT,Holland,Orleans,019

VT,Hubbardton,Rutland,021

VT,Huntington,Chittenden,007

VT,Hyde Park,Lamoille,015

VT,Ira,Rutland,021

VT,Irasburg,Orleans,019

VT,Isle La Motte,Grand Isle,013

VT,Jamaica,Windham,025

VT,Jay,Orleans,019

VT,Jericho,Chittenden,007

VT,Johnson,Lamoille,015

VT,Killington,Rutland,021

VT,Kirby,Caledonia,005

VT,Landgrove,Bennington,003

VT,Leicester,Addison,001

VT,Lemington,Essex,009

VT,Lincoln,Addison,001

VT,Londonderry,Windham,025

VT,Lowell,Orleans,019

VT,Ludlow,Windsor,027

VT,Lunenburg,Essex,009

VT,Lyndon,Caledonia,005

VT,Maidstone,Essex,009

VT,Manchester,Bennington,003

VT,Marlboro,Windham,025

VT,Marshfield,Washington,023

VT,Mendon,Rutland,021

VT,Middlebury,Addison,001

VT,Middlesex,Washington,023

VT,Middletown Springs,Rutland,021

VT,Milton,Chittenden,007

VT,Monkton,Addison,001

VT,Montgomery,Franklin,011

VT,Montpelier,Washington,023

VT,Moretown,Washington,023

VT,Morgan,Orleans,019

VT,Morristown,Lamoille,015

VT,Mount Holly,Rutland,021

VT,Mount Tabor,Rutland,021

VT,New Haven,Addison,001

VT,Newark,Caledonia,005

VT,Newbury,Orange,017

